Study,Personality
Individual,introvert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,introvert
Prefer not to answer,extrovert
Individual,extrovert
Individual,introvert
Group,extrovert
Individual,extrovert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,introvert
Group,extrovert
Group,introvert
Individual,extrovert
Prefer not to answer,extrovert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Group,introvert
Group,extrovert
Group,Prefer not to answer
Group,introvert
Individual,extrovert
Individual,introvert
Prefer not to answer,extrovert
Group,introvert
Individual,introvert
Individual,introvert
Group,extrovert
Individual,introvert
Prefer not to answer,introvert
Individual,introvert
Individual,extrovert
Group,Prefer not to answer
Group,introvert
Individual,extrovert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,extrovert
Group,extrovert
Group,extrovert
Group,extrovert
Group,introvert
Group,extrovert
Group,introvert
Individual,extrovert
Individual,extrovert
Individual,extrovert
Individual,introvert
Group,Prefer not to answer
Individual,extrovert
Group,introvert
Group,extrovert
Group,extrovert
Individual,extrovert
Group,introvert
Individual,introvert
Individual,introvert
Group,introvert
Group,extrovert
Group,extrovert
Group,introvert
Group,extrovert
Individual,introvert
Individual,extrovert
Group,introvert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,Prefer not to answer
Individual,introvert
Individual,extrovert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,extrovert
Group,extrovert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Group,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Group,extrovert
Individual,introvert
Group,extrovert
Individual,introvert
Group,introvert
Individual,introvert
Individual,extrovert
Group,extrovert
Group,extrovert
Group,introvert
Group,extrovert
Individual,extrovert
Group,introvert
Individual,extrovert
Individual,introvert
Group,extrovert
Group,introvert
Group,extrovert
Individual,introvert
Group,introvert
Group,extrovert
Individual,extrovert
Group,extrovert
Group,extrovert
Individual,extrovert
Individual,introvert
Individual,introvert
Group,extrovert
Individual,introvert
Group,extrovert
Individual,introvert
Individual,introvert
Individual,introvert
Group,introvert
Individual,introvert
Individual,extrovert
Group,extrovert
Individual,introvert
Group,introvert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,introvert
Group,extrovert
Individual,extrovert
Individual,extrovert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,Prefer not to answer
Individual,introvert
Individual,introvert
Group,extrovert
Group,Prefer not to answer
Individual,extrovert
Group,extrovert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,extrovert
Individual,extrovert
Prefer not to answer,extrovert
Individual,introvert
Individual,introvert
Group,introvert
Individual,extrovert
Individual,extrovert
Group,extrovert
Group,extrovert
Prefer not to answer,introvert
Group,extrovert
Individual,extrovert
Group,extrovert
Individual,extrovert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,extrovert
Group,extrovert
Individual,introvert
Group,extrovert
Individual,introvert
Group,extrovert
Individual,extrovert
Group,introvert
Group,extrovert
Individual,extrovert
Individual,introvert
Group,introvert
Individual,introvert
Individual,introvert
Individual,extrovert
Group,extrovert
Individual,introvert
Individual,introvert
Group,extrovert
Individual,introvert
Group,extrovert
Individual,extrovert
Group,extrovert
Group,extrovert
Group,introvert
Individual,introvert
Group,extrovert
Individual,introvert
Individual,extrovert
Group,extrovert
Group,introvert
Individual,introvert
Individual,extrovert
Group,extrovert
Individual,introvert
Individual,extrovert
Group,extrovert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,Prefer not to answer
Individual,extrovert
Group,introvert
Individual,introvert
Group,extrovert
Individual,extrovert
Group,introvert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Group,introvert
Group,introvert
Individual,extrovert
Group,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Group,extrovert
Group,extrovert
Group,introvert
Individual,introvert
Group,extrovert
Group,introvert
Individual,extrovert
Individual,extrovert
Group,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,extrovert
Group,introvert
Individual,extrovert
Group,extrovert
Group,introvert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,extrovert
Group,extrovert
Individual,introvert
Individual,introvert
Individual,introvert
Group,extrovert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,Prefer not to answer
Group,introvert
Individual,extrovert
Individual,introvert
Group,extrovert
Individual,introvert
Individual,extrovert
Group,introvert
Group,extrovert
Individual,extrovert
Group,introvert
Group,extrovert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,extrovert
Individual,Prefer not to answer
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Group,introvert
Individual,extrovert
Individual,introvert
Individual,introvert
Group,extrovert
Individual,introvert
Group,extrovert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Group,extrovert
Group,Prefer not to answer
Individual,extrovert
Individual,introvert
Individual,introvert
Group,extrovert
Group,introvert
Individual,introvert
Group,extrovert
Individual,introvert
Individual,extrovert
Prefer not to answer,extrovert
Group,extrovert
Individual,introvert
Individual,introvert
Group,introvert
Group,extrovert
Group,introvert
Group,extrovert
Individual,extrovert
Individual,extrovert
Group,introvert
Individual,extrovert
Individual,extrovert
Group,introvert
Group,introvert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,extrovert
Group,extrovert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,introvert
Group,extrovert
Individual,introvert
Individual,introvert
Group,extrovert
Individual,extrovert
Group,introvert
Individual,introvert
Group,extrovert
Individual,extrovert
Group,extrovert
Group,introvert
Group,introvert
Group,extrovert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,introvert
Group,extrovert
Group,extrovert
Group,extrovert
Individual,introvert
Individual,introvert
Group,introvert
Individual,introvert
Individual,extrovert
Group,extrovert
Individual,extrovert
Group,Prefer not to answer
Individual,extrovert
Individual,introvert
Individual,introvert
Group,introvert
Individual,introvert
Individual,introvert
Prefer not to answer,introvert
Group,introvert
Prefer not to answer,introvert
Group,introvert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,introvert
Individual,extrovert
Group,extrovert
Individual,introvert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,extrovert
Group,introvert
Individual,extrovert
Individual,extrovert
Group,introvert
Individual,extrovert
Group,Prefer not to answer
Group,introvert
Individual,extrovert
Group,extrovert
Individual,introvert
Group,extrovert
Individual,introvert
Individual,extrovert
Group,extrovert
Individual,introvert
Individual,introvert
Group,extrovert
Group,introvert
Individual,introvert
Group,introvert
Group,extrovert
Individual,extrovert
Individual,introvert
Group,extrovert
Group,extrovert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,Prefer not to answer
Group,extrovert
Group,introvert
Individual,introvert
Group,extrovert
Individual,extrovert
Individual,extrovert
Individual,introvert
Group,introvert
Group,extrovert
Group,Prefer not to answer
Group,extrovert
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Group,introvert
Individual,introvert
Individual,extrovert
Group,Prefer not to answer
Group,extrovert
Individual,introvert
Individual,introvert
Individual,extrovert
Individual,introvert
Individual,introvert
Group,extrovert
Prefer not to answer,Prefer not to answer
Individual,extrovert
Individual,extrovert
Individual,introvert
Individual,extrovert
Individual,introvert
Group,extrovert
Individual,introvert
